Strategy Combination,Avg Return(%),Avg MDD(%),Avg Sharpe,Avg Win Rate,Avg Profit Factor
Momentum_20(0.6) + BBounce_20(0.4),24.79,-25.72,0.29,0.43,1.22
Disparity_20(0.6) + MA_Breakout_20(0.4),24.63,-21.02,0.64,0.48,1.36
Momentum_20(0.4) + BBounce_20(0.6),24.61,-25.75,0.28,0.43,1.22
Disparity_20(0.4) + MA_Breakout_20(0.6),24.51,-21.65,0.6,0.47,1.31
MACD_12_26(0.4) + MA_Breakout_20(0.6),23.53,-28.4,0.33,0.46,1.16
BBounce_20(0.4) + Disparity_20(0.6),22.98,-20.5,0.66,0.5,2.13
BBounce_20(0.6) + Disparity_20(0.4),22.95,-20.5,0.66,0.5,2.13
BBounce_20(0.4) + Doji_Rebound(0.6),22.51,-22.73,0.54,0.49,1.32
BBounce_20(0.6) + Doji_Rebound(0.4),22.51,-22.73,0.54,0.49,1.32
VolSpike_3.0x(0.6) + RSI_14(0.4),22.25,-22.92,0.43,0.44,1.49
MA_Breakout_20(0.6) + RSI_14(0.4),22.25,-26.53,0.38,0.47,1.21
BBounce_20(0.6) + MA_Breakout_20(0.4),22.12,-21.27,0.49,0.47,1.31
Momentum_20(0.4) + MACD_12_26(0.6),21.92,-31.33,0.23,0.45,1.12
Momentum_20(0.6) + MACD_12_26(0.4),21.92,-31.33,0.23,0.45,1.12
GCross_5_20(0.4) + Disparity_20(0.6),21.85,-21.63,0.57,0.46,1.31
GCross_5_20(0.6) + Disparity_20(0.4),21.85,-21.63,0.57,0.46,1.31
Disparity_20(0.4) + RSI_14(0.6),21.79,-21.13,0.57,0.48,2.41
Disparity_20(0.4) + MACD_12_26(0.6),21.22,-21.79,0.58,0.48,1.37
Disparity_20(0.6) + MACD_12_26(0.4),21.22,-21.79,0.58,0.48,1.37
VolSpike_3.0x(0.6) + Disparity_20(0.4),20.85,-21.18,0.52,0.47,3.14
GCross_5_20(0.6) + RSI_14(0.4),20.25,-27.75,0.31,0.45,1.18
BBounce_20(0.4) + MA_Breakout_20(0.6),20.16,-22.41,0.43,0.46,1.26
Disparity_20(0.6) + RSI_14(0.4),19.97,-20.52,0.51,0.47,2.35
GCross_5_20(0.4) + RSI_14(0.6),19.04,-25.3,0.41,0.46,1.25
VolSpike_3.0x(0.4) + MACD_12_26(0.6),18.5,-25.46,0.35,0.46,1.21
Momentum_20(0.6) + Disparity_20(0.4),18.41,-25.18,0.3,0.43,1.18
VolSpike_3.0x(0.4) + Disparity_20(0.6),18.4,-20.28,0.48,0.47,1.94
GCross_5_20(0.4) + BBounce_20(0.6),18.39,-21.53,0.45,0.46,1.29
GCross_5_20(0.6) + BBounce_20(0.4),18.24,-21.71,0.45,0.46,1.3
BBounce_20(0.4) + MACD_12_26(0.6),18.13,-20.19,0.52,0.49,1.54
BBounce_20(0.6) + MACD_12_26(0.4),18.13,-20.19,0.52,0.49,1.54
VolSpike_3.0x(0.4) + BBounce_20(0.6),17.73,-19.22,0.47,0.48,1.46
MACD_12_26(1.0),17.55,-24.13,0.35,0.46,1.21
Momentum_20(0.2) + MACD_12_26(0.8),17.55,-24.13,0.35,0.46,1.21
GCross_5_20(0.2) + MACD_12_26(0.8),17.55,-24.13,0.35,0.46,1.21
VolSpike_3.0x(0.2) + MACD_12_26(0.8),17.55,-24.13,0.35,0.46,1.21
BBounce_20(0.2) + MACD_12_26(0.8),17.55,-24.13,0.35,0.46,1.21
Disparity_20(0.2) + MACD_12_26(0.8),17.55,-24.13,0.35,0.46,1.21
MACD_12_26(0.8) + Doji_Rebound(0.2),17.55,-24.13,0.35,0.46,1.21
MACD_12_26(0.4) + High_52W_Breakout(0.6),17.55,-24.13,0.35,0.46,1.21
MACD_12_26(0.6) + High_52W_Breakout(0.4),17.55,-24.13,0.35,0.46,1.21
MACD_12_26(0.8) + High_52W_Breakout(0.2),17.55,-24.13,0.35,0.46,1.21
MACD_12_26(0.8) + MA_Breakout_20(0.2),17.55,-24.13,0.35,0.46,1.21
MACD_12_26(0.8) + RSI_14(0.2),17.55,-24.13,0.35,0.46,1.21
Disparity_20(1.0),17.33,-19.58,0.45,0.45,2.43
Momentum_20(0.2) + Disparity_20(0.8),17.33,-19.58,0.45,0.45,2.43
GCross_5_20(0.2) + Disparity_20(0.8),17.33,-19.58,0.45,0.45,2.43
VolSpike_3.0x(0.2) + Disparity_20(0.8),17.33,-19.58,0.45,0.45,2.43
BBounce_20(0.2) + Disparity_20(0.8),17.33,-19.58,0.45,0.45,2.43
Disparity_20(0.8) + MACD_12_26(0.2),17.33,-19.58,0.45,0.45,2.43
Disparity_20(0.8) + Doji_Rebound(0.2),17.33,-19.58,0.45,0.45,2.43
Disparity_20(0.4) + High_52W_Breakout(0.6),17.33,-19.58,0.45,0.45,2.43
Disparity_20(0.6) + High_52W_Breakout(0.4),17.33,-19.58,0.45,0.45,2.43
Disparity_20(0.8) + High_52W_Breakout(0.2),17.33,-19.58,0.45,0.45,2.43
Disparity_20(0.8) + MA_Breakout_20(0.2),17.33,-19.58,0.45,0.45,2.43
Disparity_20(0.8) + RSI_14(0.2),17.33,-19.58,0.45,0.45,2.43
VolSpike_3.0x(0.6) + MACD_12_26(0.4),17.3,-26.44,0.34,0.46,1.2
BBounce_20(1.0),17.22,-18.05,-0.13,0.49,1.62
Momentum_20(0.2) + BBounce_20(0.8),17.22,-18.05,-0.13,0.49,1.62
GCross_5_20(0.2) + BBounce_20(0.8),17.22,-18.05,-0.13,0.49,1.62
VolSpike_3.0x(0.2) + BBounce_20(0.8),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.8) + Disparity_20(0.2),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.8) + MACD_12_26(0.2),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.8) + Doji_Rebound(0.2),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.4) + High_52W_Breakout(0.6),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.6) + High_52W_Breakout(0.4),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.8) + High_52W_Breakout(0.2),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.8) + MA_Breakout_20(0.2),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.8) + RSI_14(0.2),17.22,-18.05,-0.13,0.49,1.62
BBounce_20(0.6) + RSI_14(0.4),16.7,-18.63,-0.13,0.49,1.6
MACD_12_26(0.4) + RSI_14(0.6),16.58,-20.83,0.47,0.48,10.51
BBounce_20(0.4) + RSI_14(0.6),16.5,-19.2,-0.12,0.49,2.22
Momentum_20(0.4) + Disparity_20(0.6),16.33,-21.32,0.38,0.47,1.77
VolSpike_3.0x(0.6) + BBounce_20(0.4),16.06,-20.87,0.43,0.47,1.35
MACD_12_26(0.6) + RSI_14(0.4),15.93,-22.08,0.4,0.47,1.32
RSI_14(1.0),15.3,-17.66,-0.21,0.45,1.58
VolSpike_3.0x(0.4) + RSI_14(0.6),15.01,-19.32,-0.3,0.41,1.43
BBounce_20(0.2) + RSI_14(0.8),14.06,-16.82,-1.55,0.45,1.58
Doji_Rebound(0.2) + RSI_14(0.8),13.74,-16.58,-0.26,0.44,2.16
MACD_12_26(0.2) + RSI_14(0.8),13.23,-16.56,0.4,0.44,2.17
High_52W_Breakout(0.2) + RSI_14(0.8),13.14,-16.47,0.39,0.43,2.17
MA_Breakout_20(0.2) + RSI_14(0.8),13.14,-16.47,0.39,0.43,2.17
VolSpike_3.0x(0.2) + RSI_14(0.8),12.46,-16.79,0.37,0.43,2.15
GCross_5_20(0.2) + RSI_14(0.8),12.28,-16.44,0.38,0.43,2.17
Disparity_20(0.2) + RSI_14(0.8),12.25,-18.27,-0.33,0.45,2.11
Momentum_20(0.2) + RSI_14(0.8),11.6,-17.02,0.36,0.41,2.14
High_52W_Breakout(0.4) + RSI_14(0.6),10.41,-15.72,-0.36,0.38,2.25
High_52W_Breakout(0.6) + RSI_14(0.4),9.13,-11.14,0.19,0.25,7.91
High_52W_Breakout(1.0),0.0,0.0,0.0,0.0,1.0
Momentum_20(0.2) + High_52W_Breakout(0.8),0.0,0.0,0.0,0.0,1.0
GCross_5_20(0.2) + High_52W_Breakout(0.8),0.0,0.0,0.0,0.0,1.0
VolSpike_3.0x(0.2) + High_52W_Breakout(0.8),0.0,0.0,0.0,0.0,1.0
BBounce_20(0.2) + High_52W_Breakout(0.8),0.0,0.0,0.0,0.0,1.0
Disparity_20(0.2) + High_52W_Breakout(0.8),0.0,0.0,0.0,0.0,1.0
MACD_12_26(0.2) + High_52W_Breakout(0.8),0.0,0.0,0.0,0.0,1.0
Doji_Rebound(0.2) + High_52W_Breakout(0.8),0.0,0.0,0.0,0.0,1.0
High_52W_Breakout(0.8) + MA_Breakout_20(0.2),0.0,0.0,0.0,0.0,1.0
High_52W_Breakout(0.8) + RSI_14(0.2),0.0,0.0,0.0,0.0,1.0
